User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,
Test ID: 5473,,,
Test Name: Luka_Phenol,,,
Date: 24/03/2025,,,
Time: 6:53:45 PM,,,
ID1: 4,,,
Absorbance,,,Absorbance values are displayed as OD
,,,
,,,
Well,Content,Raw Data (765),
A01,Sample X1,0.07,
B01,Sample X2,0.067,
C01,Sample X3,0.063,
D01,Sample X4,0.323,
E01,Sample X5,0.33,
F01,Sample X6,0.311,
G01,Sample X7,0.664,
H01,Sample X8,0.868,
A02,Sample X9,0.72,
B02,Sample X10,1.4,
C02,Sample X11,1.453,
D02,Sample X12,1.591,
E02,Sample X13,1.937,
F02,Sample X14,2.187,
G02,Sample X15,2.07,
H02,Sample X16,2.417,
A03,Sample X17,2.37,
B03,Sample X18,2.337,
C03,Sample X19,2.523,
D03,Sample X20,2.381,
E03,Sample X21,2.602,
F03,Sample X22,2.051,
G03,Sample X23,2.109,
H03,Sample X24,2.209,
A04,Sample X25,2.74,
B04,Sample X26,2.746,
C04,Sample X27,2.647,
D04,Sample X28,2.102,
E04,Sample X29,2.266,
F04,Sample X30,2.255,
G04,Sample X31,2.588,
H04,Sample X32,2.65,
A05,Sample X33,2.553,
B05,Sample X34,1.919,
C05,Sample X35,1.937,
D05,Sample X36,1.818,
E05,Sample X37,2.539,
F05,Sample X38,2.518,
G05,Sample X39,2.556,
H05,Sample X40,2.094,
A06,Sample X41,2.181,
B06,Sample X42,2.259,
C06,Sample X43,2.558,
D06,Sample X44,2.678,
E06,Sample X45,2.464,
F06,Sample X46,2.018,
G06,Sample X47,2.109,
H06,Sample X48,2.237,
A07,Sample X49,2.677,
B07,Sample X50,2.779,
C07,Sample X51,2.774,
D07,Sample X52,2.072,
E07,Sample X53,2.145,
F07,Sample X54,2.167,
G07,Sample X55,2.649,
H07,Sample X56,2.685,
A08,Sample X57,2.756,
