Reference,DOI,Location,Season,Urchin,Food,Compound,Unit,Plant_mean,Plant_sd,Plant_n,Faeces_mean,Faeces_sd,Faeces_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,62.79967144,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,50.80665873,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,51.1377698,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,35.0417391,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,37.90118033,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,28.01709043,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,25.98394111,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,15.37819888,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,9.027658387,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,24.24879176,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,18.51738651,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,8.473047347,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,0.025045581,NA,1,Figure 5a,
Bedford & Moore 1985,10.1016/0272-7714(85)90116-7,"Isle of Cumbrae, Scotland",Annual,Psammechinus miliaris,Saccharina latissima,Proteins,mg g^−1,NA,NA,NA,NA,NA,NA,0,NA,1,Figure 5a,
