Plate,Annotation,Mass
231115_Phenol_2,0,NA
231115_Phenol_2,0,NA
231115_Phenol_2,0,NA
231115_Phenol_2,0.1,NA
231115_Phenol_2,0.1,NA
231115_Phenol_2,0.1,NA
231115_Phenol_2,0.25,NA
231115_Phenol_2,0.25,NA
231115_Phenol_2,0.25,NA
231115_Phenol_2,0.5,NA
231115_Phenol_2,0.5,NA
231115_Phenol_2,0.5,NA
231115_Phenol_2,0.75,NA
231115_Phenol_2,0.75,NA
231115_Phenol_2,0.75,NA
231115_Phenol_2,0.9,NA
231115_Phenol_2,0.9,NA
231115_Phenol_2,0.9,NA
231115_Phenol_2,1,NA
231115_Phenol_2,1,NA
231115_Phenol_2,1,NA
231115_Phenol_2,U1f,59.02
231115_Phenol_2,U1f,59.02
231115_Phenol_2,U1f,59.02
231115_Phenol_2,U2f,75.01
231115_Phenol_2,U2f,75.01
231115_Phenol_2,U2f,75.01
231115_Phenol_2,U3f,34.86
231115_Phenol_2,U3f,34.86
231115_Phenol_2,U3f,34.86
231115_Phenol_2,U4f,58.42
231115_Phenol_2,U4f,58.42
231115_Phenol_2,U4f,58.42
231115_Phenol_2,U5f,55.47
231115_Phenol_2,U5f,55.47
231115_Phenol_2,U5f,55.47
231115_Phenol_2,U6f,49.05
231115_Phenol_2,U6f,49.05
231115_Phenol_2,U6f,49.05
231115_Phenol_2,U7f,63.37
231115_Phenol_2,U7f,63.37
231115_Phenol_2,U7f,63.37
231115_Phenol_2,U8f,67.56
231115_Phenol_2,U8f,67.56
231115_Phenol_2,U8f,67.56
231115_Phenol_2,U9f,42.9
231115_Phenol_2,U9f,42.9
231115_Phenol_2,U9f,42.9
231115_Phenol_2,U10f,61.87
231115_Phenol_2,U10f,61.87
231115_Phenol_2,U10f,61.87
231115_Phenol_2,U11f,58.99
231115_Phenol_2,U11f,58.99
231115_Phenol_2,U11f,58.99
231115_Phenol_2,U12f,52.14
231115_Phenol_2,U12f,52.14
231115_Phenol_2,U12f,52.14
231115_Phenol_2,U13f,58.66
231115_Phenol_2,U13f,58.66
231115_Phenol_2,U13f,58.66
231115_Phenol_2,U14f,52.67
231115_Phenol_2,U14f,52.67
231115_Phenol_2,U14f,52.67
231115_Phenol_2,U15f,48.16
231115_Phenol_2,U15f,48.16
231115_Phenol_2,U15f,48.16
231115_Phenol_2,U2,52.37
231115_Phenol_2,U2,52.37
231115_Phenol_2,U2,52.37
231115_Phenol_2,U5,74.63
231115_Phenol_2,U5,74.63
231115_Phenol_2,U5,74.63
231115_Phenol_2,U8,50.65
231115_Phenol_2,U8,50.65
231115_Phenol_2,U8,50.65
231115_Phenol_2,U11,66.54
231115_Phenol_2,U11,66.54
231115_Phenol_2,U11,66.54
231115_Phenol_2,U15,67.69
231115_Phenol_2,U15,67.69
231115_Phenol_2,U15,67.69
250324_Phenol_1,0,NA
250324_Phenol_1,0,NA
250324_Phenol_1,0,NA
250324_Phenol_1,0.1,NA
250324_Phenol_1,0.1,NA
250324_Phenol_1,0.1,NA
250324_Phenol_1,0.25,NA
250324_Phenol_1,0.25,NA
250324_Phenol_1,0.25,NA
250324_Phenol_1,0.5,NA
250324_Phenol_1,0.5,NA
250324_Phenol_1,0.5,NA
250324_Phenol_1,0.75,NA
250324_Phenol_1,0.75,NA
250324_Phenol_1,0.75,NA
250324_Phenol_1,0.9,NA
250324_Phenol_1,0.9,NA
250324_Phenol_1,0.9,NA
250324_Phenol_1,1,NA
250324_Phenol_1,1,NA
250324_Phenol_1,1,NA
250324_Phenol_1,U1_F1,46.35
250324_Phenol_1,U1_F1,46.35
250324_Phenol_1,U1_F1,46.35
250324_Phenol_1,U2_F1,58.48
250324_Phenol_1,U2_F1,58.48
250324_Phenol_1,U2_F1,58.48
250324_Phenol_1,U3_F1,48.19
250324_Phenol_1,U3_F1,48.19
250324_Phenol_1,U3_F1,48.19
250324_Phenol_1,U4_F1,51.13
250324_Phenol_1,U4_F1,51.13
250324_Phenol_1,U4_F1,51.13
250324_Phenol_1,U5_F1,45.93
250324_Phenol_1,U5_F1,45.93
250324_Phenol_1,U5_F1,45.93
250324_Phenol_1,U6_F1,46.2
250324_Phenol_1,U6_F1,46.2
250324_Phenol_1,U6_F1,46.2
250324_Phenol_1,U7_F1,46.76
250324_Phenol_1,U7_F1,46.76
250324_Phenol_1,U7_F1,46.76
250324_Phenol_1,U8_F1,48.66
250324_Phenol_1,U8_F1,48.66
250324_Phenol_1,U8_F1,48.66
