"pigment" "a" "xp" "s"
"1" "Chl.a" 0.8773 414.09 18.2552
"2" "Chl.a" 0.5201 435.6242 7.1854
"3" "Chl.a" 0.0335 447.4821 4.8788
"4" "Chl.a" 0.0025 479.1469 3.5822
"5" "Chl.a" 0.0092 493.754 7.5684
"6" "Chl.a" 0.0082 510.4728 8.983
"7" "Chl.a" 0.0265 532.8727 11.4439
"8" "Chl.a" 0.0171 549.8773 8.5974
"9" "Chl.a" 0.0624 570.8223 10.5342
"10" "Chl.a" 0.0774 587.4728 9.6568
"11" "Chl.a" 0.0735 608.9456 9.9732
"12" "Chl.a" 0.1808 624.1425 14.3776
"13" "Chl.a" 0.2438 657.1854 10.7883
"14" "Chl.a" 0.7896 665.7898 7.4029
"15" "Chl.a" 0.1156 676.7043 7.9157
"16" "Chl.b" 0.1469 396.7611 38.5987
"17" "Chl.b" 0.329 436.7715 11.7046
"18" "Chl.b" 0.6266 459.2507 9.801
"19" "Chl.b" 0.5229 472.0331 10.444
"20" "Chl.b" 0.0658 488.0152 8.156
"21" "Chl.b" 0.0334 504.1109 11.7538
"22" "Chl.b" 0.0238 532.7258 10.7414
"23" "Chl.b" 0.0344 550.4173 11.363
"24" "Chl.b" 0.0419 573.6667 12.9968
"25" "Chl.b" 0.0392 595.0192 9.6748
"26" "Chl.b" 0.0907 614.9676 21.8213
"27" "Chl.b" 0.0079 627.8732 2.6516
"28" "Chl.b" 0.3356 647.1796 9.3062
"29" "Chl.b" 0.0952 662.6386 9.3815
"30" "Chl.c1" 0.0131 678.38 12.72
"31" "Chl.c1" 0.0845 629.25 7.61
"32" "Chl.c1" 0.0675 627.9 19.1
"33" "Chl.c1" 0.0246 578.52 7.2
"34" "Chl.c1" 0.0736 571.14 29.89
"35" "Chl.c1" 0.0058 502.5 7.67
"36" "Chl.c1" 0.0348 452.41 4.51
"37" "Chl.c1" 0.8818 440.71 13.46
"38" "Chl.c1" 0.0819 413.93 6.46
"39" "Chl.c1" 0.1358 396.3 18.78
"40" "Chl.c1" 0.3185 277.23 112.9
"41" "Chl.c2" 0.0217 658.24 19.82
"42" "Chl.c2" 0.0894 628.75 7.18
"43" "Chl.c2" 0.0244 611.16 8.18
"44" "Chl.c2" 0.0669 581.38 10.45
"45" "Chl.c2" 0.0378 562.34 28.01
"46" "Chl.c2" 0.6127 454.43 8.42
"47" "Chl.c2" 0.0668 452.66 17.12
"48" "Chl.c2" 0.2803 442.91 7.06
"49" "Chl.c2" 0.3581 432.89 13.24
"50" "Chl.c2" 0.0747 396.5 15.06
"51" "Chl.c2" 0.1904 344.94 75.25
"52" "Phe.a" 0.3767 665.58 7.69
"53" "Phe.a" 0.0707 654.99 18.56
"54" "Phe.a" 0.0728 607.96 10.99
"55" "Phe.a" 0.0274 558.63 18.46
"56" "Phe.a" 0.0791 533.6 5.9
"57" "Phe.a" 0.1051 503.82 10.57
"58" "Phe.a" 0.0319 471.61 10.55
"59" "Phe.a" 0.8503 409.94 9.83
"60" "Phe.a" 0.1259 395.96 4.84
"61" "Phe.a" 0.2072 389.67 6.39
"62" "Phe.a" 0.3278 376.96 13.88
"63" "Phe.a" 0.2511 359.67 41.28
"64" "Phe.b" 0.1664 653.75 7.16
"65" "Phe.b" 0.038 646.92 18.53
"66" "Phe.b" 0.0508 598.42 10.84
"67" "Phe.b" 0.0346 560.45 10.82
"68" "Phe.b" 0.0748 524.96 16.94
"69" "Phe.b" 0.0319 481.54 14.56
"70" "Phe.b" 0.5993 436.23 10.98
"71" "Phe.b" 0.3204 433.79 4
"72" "Phe.b" 0.1795 411.69 5.98
"73" "Phe.b" 0.2035 410.67 17.88
"74" "Phe.b" 0.0272 369.66 5.43
"75" "Phe.b" 0.166 356.21 31.11
"76" "Allo" 0.3809 411.7911 24.5552
"77" "Allo" 0.3409 428.7431 10.3416
"78" "Allo" 0.739 452.3565 10.8361
"79" "Allo" 0.448 472.5133 13.0253
"80" "Allo" 0.5781 487.0455 9.4234
"81" "Allo" 0.0381 508.3095 9.8356
"82" "Allo" 0.0158 528.0909 9.2278
"83" "bb.Car" 0.0053 575.54 81.6
"84" "bb.Car" 0.5858 484.53 12.54
"85" "bb.Car" 0.4309 454.11 10.67
"86" "bb.Car" 0.5904 438.68 35.38
"87" "bb.Car" 0.1226 427.02 8.66
"88" "bb.Car" 0.0148 400.88 4.9
"89" "bb.Car" 0.1036 322.99 29.37
"90" "Cantha" 0.1961 505.15 15.67
"91" "Cantha" 0.8845 471.26 30.39
"92" "Cantha" 0.1347 423.27 20.65
"93" "Cantha" 0.1305 407.4 65.85
"94" "Cantha" 0.1056 311.24 11.63
"95" "Diadino" 0.5634 479.94 7.88
"96" "Diadino" 0.6924 450.72 24.09
"97" "Diadino" 0.3058 447.71 8.05
"98" "Diadino" 0.3057 420.06 8.96
"99" "Diadino" 0.1402 399.62 8.75
"100" "Diadino" 0.1444 386.05 18.69
"101" "Diadino" 0.052 337.6 10.84
"102" "Diato" 0.38 480.15 7.89
"103" "Diato" 0.2687 450.72 6.67
"104" "Diato" 0.7661 440.5 28.53
"105" "Diato" 0.1838 422.28 6.87
"106" "Diato" 0.1811 399.92 9.57
"107" "Diato" 0.0586 379.23 6.9
"108" "Diato" 0.1688 367.9 25.61
"109" "Dino" 0.1668 382.652 19.6667
"110" "Dino" 0.1375 391.3008 6.8372
"111" "Dino" 0.6069 414.7248 10.3386
"112" "Dino" 0.8702 438.9748 8.7199
"113" "Dino" 0.339 455.9312 10.5719
"114" "Dino" 0.7877 469.9046 7.2061
"115" "Dino" 0.0351 487.0203 4.1007
"116" "Dino" 0.0239 494.4394 11.3123
"117" "Echin" 0.3562 489.03 16.84
"118" "Echin" 0.5011 476.48 28.46
"119" "Echin" 0.3839 456.04 12.66
"120" "Echin" 0.3104 431.82 12.82
"121" "Echin" 0.1532 409.3 14.34
"122" "Echin" 0.1359 403.64 70.2
"123" "Fuco" 0.2254 485.92 17.92
"124" "Fuco" 0.1994 479.7 9.13
"125" "Fuco" 0.2042 469.91 6.95
"126" "Fuco" 0.443 449.4 13.44
"127" "Fuco" 0.4408 427.55 25.9
"128" "Fuco" 0.2292 421.99 50.69
"129" "Fuco" 0.0614 418.48 6.94
"130" "Lut" 0.7121 476.87 10.29
"131" "Lut" 0.1587 475.29 20.98
"132" "Lut" 0.8912 447.37 10.94
"133" "Lut" 0.6053 420.57 11.1
"134" "Lut" 0.1846 398.01 8.41
"135" "Lut" 0.1347 383.01 13.79
