Plate,Content,Annotation,Mass
231117_Pigments_1_200uL_undiluted,Sample X1,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,Sample X2,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,Sample X3,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,Sample X4,U1f,117.51
231117_Pigments_1_200uL_undiluted,Sample X5,U1f,117.51
231117_Pigments_1_200uL_undiluted,Sample X6,U1f,117.51
231117_Pigments_1_200uL_undiluted,Sample X7,U2f,116.43
231117_Pigments_1_200uL_undiluted,Sample X8,U2f,116.43
231117_Pigments_1_200uL_undiluted,Sample X9,U2f,116.43
231117_Pigments_1_200uL_undiluted,Sample X10,U3f,20.49
231117_Pigments_1_200uL_undiluted,Sample X11,U3f,20.49
231117_Pigments_1_200uL_undiluted,Sample X12,U3f,20.49
231117_Pigments_1_200uL_undiluted,Sample X13,U4f,122.03
231117_Pigments_1_200uL_undiluted,Sample X14,U4f,122.03
231117_Pigments_1_200uL_undiluted,Sample X15,U4f,122.03
231117_Pigments_1_200uL_undiluted,Sample X16,U5f,103.75
231117_Pigments_1_200uL_undiluted,Sample X17,U5f,103.75
231117_Pigments_1_200uL_undiluted,Sample X18,U5f,103.75
231117_Pigments_1_200uL_undiluted,Sample X19,U6f,98.93
231117_Pigments_1_200uL_undiluted,Sample X20,U6f,98.93
231117_Pigments_1_200uL_undiluted,Sample X21,U6f,98.93
231117_Pigments_1_200uL_undiluted,Sample X22,U7f,115.66
231117_Pigments_1_200uL_undiluted,Sample X23,U7f,115.66
231117_Pigments_1_200uL_undiluted,Sample X24,U7f,115.66
231117_Pigments_1_200uL_undiluted,Sample X25,U8f,94.74
231117_Pigments_1_200uL_undiluted,Sample X26,U8f,94.74
231117_Pigments_1_200uL_undiluted,Sample X27,U8f,94.74
231117_Pigments_1_200uL_undiluted,Sample X28,U9f,111.67
231117_Pigments_1_200uL_undiluted,Sample X29,U9f,111.67
231117_Pigments_1_200uL_undiluted,Sample X30,U9f,111.67
231117_Pigments_1_200uL_undiluted,Sample X31,U10f,83.97
231117_Pigments_1_200uL_undiluted,Sample X32,U10f,83.97
231117_Pigments_1_200uL_undiluted,Sample X33,U10f,83.97
231117_Pigments_1_200uL_undiluted,Sample X34,U11f,129.55
