Sample 1
1/11/2024 1:05:30 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	2.673
A260/A230	0.010
A260	0.052
A280	0.019
220.0	9.686
220.5	9.532
221.0	9.370
221.5	9.178
222.0	8.968
222.5	8.734
223.0	8.488
223.5	8.213
224.0	7.907
224.5	7.577
225.0	7.255
225.5	6.974
226.0	6.732
226.5	6.518
227.0	6.324
227.5	6.146
228.0	5.982
228.5	5.827
229.0	5.674
229.5	5.518
230.0	5.358
230.5	5.192
231.0	5.019
231.5	4.837
232.0	4.638
232.5	4.422
233.0	4.189
233.5	3.948
234.0	3.697
234.5	3.439
235.0	3.179
235.5	2.927
236.0	2.688
236.5	2.464
237.0	2.249
237.5	2.041
238.0	1.838
238.5	1.646
239.0	1.471
239.5	1.323
240.0	1.199
240.5	1.094
241.0	1.005
241.5	0.929
242.0	0.858
242.5	0.790
243.0	0.724
243.5	0.660
244.0	0.602
244.5	0.552
245.0	0.508
245.5	0.470
246.0	0.434
246.5	0.403
247.0	0.372
247.5	0.345
248.0	0.319
248.5	0.296
249.0	0.275
249.5	0.256
250.0	0.240
250.5	0.224
251.0	0.209
251.5	0.195
252.0	0.180
252.5	0.165
253.0	0.151
253.5	0.141
254.0	0.129
254.5	0.119
255.0	0.110
255.5	0.102
256.0	0.095
256.5	0.087
257.0	0.078
257.5	0.069
258.0	0.063
258.5	0.060
259.0	0.056
259.5	0.054
260.0	0.052
260.5	0.051
261.0	0.049
261.5	0.048
262.0	0.046
262.5	0.045
263.0	0.043
263.5	0.041
264.0	0.040
264.5	0.041
265.0	0.044
265.5	0.044
266.0	0.044
266.5	0.044
267.0	0.043
267.5	0.040
268.0	0.036
268.5	0.033
269.0	0.029
269.5	0.028
270.0	0.027
270.5	0.027
271.0	0.026
271.5	0.026
272.0	0.026
272.5	0.025
273.0	0.023
273.5	0.021
274.0	0.020
274.5	0.019
275.0	0.020
275.5	0.021
276.0	0.022
276.5	0.023
277.0	0.023
277.5	0.023
278.0	0.022
278.5	0.022
279.0	0.019
279.5	0.019
280.0	0.019
280.5	0.018
281.0	0.018
281.5	0.017
282.0	0.016
282.5	0.014
283.0	0.012
283.5	0.011
284.0	0.011
284.5	0.012
285.0	0.012
285.5	0.011
286.0	0.010
286.5	0.011
287.0	0.011
287.5	0.009
288.0	0.008
288.5	0.007
289.0	0.007
289.5	0.008
290.0	0.009
290.5	0.009
291.0	0.007
291.5	0.005
292.0	0.004
292.5	0.004
293.0	0.002
293.5	0.001
294.0	-0.001
294.5	-0.002
295.0	-0.003
295.5	-0.004
296.0	-0.004
296.5	-0.004
297.0	-0.005
297.5	-0.006
298.0	-0.006
298.5	-0.006
299.0	-0.005
299.5	-0.004
300.0	-0.004
300.5	-0.003
301.0	-0.002
301.5	-0.001
302.0	0.000
302.5	0.002
303.0	0.002
303.5	0.003
304.0	0.003
304.5	0.005
305.0	0.005
305.5	0.006
306.0	0.006
306.5	0.006
307.0	0.005
307.5	0.004
308.0	0.003
308.5	0.003
309.0	0.002
309.5	0.002
310.0	0.001
310.5	0.002
311.0	0.002
311.5	0.003
312.0	0.001
312.5	0.000
313.0	-0.001
313.5	0.000
314.0	-0.001
314.5	0.000
315.0	-0.001
315.5	-0.001
316.0	-0.002
316.5	-0.001
317.0	0.000
317.5	0.000
318.0	0.000
318.5	0.001
319.0	-0.001
319.5	0.000
320.0	0.000
320.5	-0.001
321.0	-0.001
321.5	-0.001
322.0	-0.001
322.5	-0.001
323.0	0.000
323.5	0.000
324.0	0.000
324.5	-0.002
325.0	-0.002
325.5	-0.002
326.0	-0.003
326.5	-0.003
327.0	-0.004
327.5	-0.003
328.0	-0.002
328.5	-0.004
329.0	-0.003
329.5	-0.003
330.0	-0.003
330.5	-0.003
331.0	-0.004
331.5	-0.005
332.0	-0.004
332.5	-0.003
333.0	-0.002
333.5	-0.002
334.0	-0.002
334.5	-0.003
335.0	-0.004
335.5	-0.004
336.0	-0.004
336.5	-0.004
337.0	-0.003
337.5	-0.002
338.0	-0.001
338.5	-0.002
339.0	0.001
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	-0.002
341.5	0.000
342.0	0.001
342.5	0.001
343.0	0.000
343.5	0.001
344.0	0.001
344.5	0.000
345.0	-0.001
345.5	-0.002
346.0	-0.001
346.5	-0.001
347.0	-0.003
347.5	-0.004
348.0	-0.003
348.5	-0.003
349.0	-0.005
349.5	-0.004
350.0	-0.007


Sample 2
1/11/2024 1:14:56 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	2.829
A260/A230	0.009
A260	0.050
A280	0.018
220.0	9.655
220.5	9.515
221.0	9.357
221.5	9.173
222.0	8.966
222.5	8.734
223.0	8.486
223.5	8.207
224.0	7.896
224.5	7.574
225.0	7.256
225.5	6.976
226.0	6.736
226.5	6.524
227.0	6.329
227.5	6.150
228.0	5.983
228.5	5.828
229.0	5.674
229.5	5.517
230.0	5.357
230.5	5.190
231.0	5.017
231.5	4.835
232.0	4.633
232.5	4.414
233.0	4.179
233.5	3.935
234.0	3.683
234.5	3.423
235.0	3.161
235.5	2.907
236.0	2.669
236.5	2.443
237.0	2.228
237.5	2.018
238.0	1.813
238.5	1.621
239.0	1.446
239.5	1.299
240.0	1.175
240.5	1.070
241.0	0.981
241.5	0.903
242.0	0.833
242.5	0.767
243.0	0.701
243.5	0.636
244.0	0.580
244.5	0.530
245.0	0.487
245.5	0.448
246.0	0.414
246.5	0.383
247.0	0.354
247.5	0.327
248.0	0.301
248.5	0.278
249.0	0.258
249.5	0.240
250.0	0.225
250.5	0.210
251.0	0.196
251.5	0.182
252.0	0.168
252.5	0.154
253.0	0.142
253.5	0.131
254.0	0.120
254.5	0.109
255.0	0.101
255.5	0.095
256.0	0.089
256.5	0.080
