Date,Sample Name,Nucleic Acid(ng/uL),A260/A280,A260/A230,A260,A280,Nucleic Acid Factor,Baseline Correction (nm),Baseline Absorbance
01/11/2024 01:05,Sample 1,2.584,2.673,0.01,0.052,0.019,50,340,0.083
01/11/2024 01:14,Sample 2,2.486,2.829,0.009,0.05,0.018,50,340,0.06
01/11/2024 01:17,Sample 3,0.905,-4.97,0.004,0.018,-0.004,50,340,0.065
01/11/2024 01:21,Sample 4,1.466,49.893,0.006,0.029,0.001,50,340,0.066
01/11/2024 01:23,Sample 5,0.684,-0.96,0.003,0.014,-0.014,50,340,0.063
01/11/2024 01:25,Sample 6,1.276,4.609,0.005,0.026,0.006,50,340,0.072
01/11/2024 01:28,Sample 7,8.88,2.288,0.05,0.178,0.078,50,340,0.068
01/11/2024 01:30,Sample 8,0.637,-3.113,0.021,0.013,-0.004,50,340,0.073
01/11/2024 01:32,Sample 9,1.188,2.959,0.019,0.024,0.008,50,340,0.071
01/11/2024 01:33,Sample 10,3.075,4.293,0.007,0.061,0.014,50,340,0.051
01/11/2024 01:35,Sample 11,5.401,2.062,0.018,0.108,0.052,50,340,0.062
01/11/2024 01:37,Sample 12,3.422,1.943,0.025,0.068,0.035,50,340,0.071
01/11/2024 01:38,Sample 13,1.838,3.559,0.01,0.037,0.01,50,340,0.063
01/11/2024 01:40,Sample 14,11.791,2.153,0.042,0.236,0.11,50,340,0.068
01/11/2024 01:42,Sample 15,3.439,3.052,0.009,0.069,0.023,50,340,0.061
01/11/2024 01:44,Sample 16,0.953,3.274,0.009,0.019,0.006,50,340,0.045
01/11/2024 01:46,Sample 17,2.718,2.592,0.018,0.054,0.021,50,340,0.05
01/11/2024 01:47,Sample 18,3.544,2.535,0.018,0.071,0.028,50,340,0.061
01/11/2024 01:48,Sample 19,8.024,2.064,0.118,0.16,0.078,50,340,0.089
01/11/2024 01:50,Sample 20,7.299,1.689,0.239,0.146,0.086,50,340,0.08
01/11/2024 01:52,Sample 21,-0.026,0.055,0,-0.001,-0.009,50,340,0.051
