Sample,Reads,Yield
C13-16S_V3-V4,653923,0.39
C14-16S_V3-V4,276926,0.17
C15-16S_V3-V4,31784,0.02
M13-16S_V3-V4,318220,0.19
M13C-16S_V3-V4,812040,0.49
M13N-16S_V3-V4,723864,0.44
M13P-16S_V3-V4,330990,0.2
M13PN-16S_V3-V4,498644,0.3
M14-16S_V3-V4,214513,0.13
M15-16S_V3-V4,408256,0.25
U13-16S_V3-V4,419706,0.25
U13C-16S_V3-V4,540904,0.33
U13N-16S_V3-V4,239162,0.14
U13P-16S_V3-V4,270011,0.16
U13PN-16S_V3-V4,361967,0.22
U13f-16S_V3-V4,549471,0.33
U14-16S_V3-V4,231280,0.14
U14f-16S_V3-V4,505900,0.3
U15-16S_V3-V4,333321,0.2
U15f-16S_V3-V4,581774,0.35
blank-16S_V3-V4,188779,0.11
