Date,Fluorophore,Plate,Well,Content,Treatment,Sporophyte,Subsample,Antibiotic,Concentration,Quenched
24.08.23,4-MU,1,A1,Blank,NA,NA,NA,NA,1,FALSE
24.08.23,4-MU,1,A2,Blank,NA,NA,NA,NA,10,FALSE
24.08.23,4-MU,1,A3,Blank,NA,NA,NA,NA,50,FALSE
24.08.23,4-MU,1,A4,Blank,NA,NA,NA,NA,100,FALSE
24.08.23,4-MU,1,A5,Blank,NA,NA,NA,NA,250,FALSE
24.08.23,4-MU,1,A6,Blank,NA,NA,NA,NA,500,FALSE
24.08.23,4-MU,1,A7,Blank,NA,NA,NA,NA,750,FALSE
24.08.23,4-MU,1,A8,Blank,NA,NA,NA,NA,1000,FALSE
24.08.23,4-MU,1,A9,Blank,NA,NA,NA,NA,1500,FALSE
24.08.23,4-MU,1,A10,Blank,NA,NA,NA,NA,2000,FALSE
24.08.23,4-MU,1,A11,Blank,NA,NA,NA,NA,2500,FALSE
24.08.23,4-MU,1,A12,Blank,NA,NA,NA,NA,3000,FALSE
24.08.23,4-MU,1,B1,Sample,Laminaria digitata,1,1,NA,1,TRUE
24.08.23,4-MU,1,B2,Sample,Laminaria digitata,1,1,NA,10,TRUE
24.08.23,4-MU,1,B3,Sample,Laminaria digitata,1,1,NA,50,TRUE
24.08.23,4-MU,1,B4,Sample,Laminaria digitata,1,1,NA,100,TRUE
24.08.23,4-MU,1,B5,Sample,Laminaria digitata,1,1,NA,250,TRUE
24.08.23,4-MU,1,B6,Sample,Laminaria digitata,1,1,NA,500,TRUE
24.08.23,4-MU,1,B7,Sample,Laminaria digitata,1,1,NA,750,TRUE
24.08.23,4-MU,1,B8,Sample,Laminaria digitata,1,1,NA,1000,TRUE
24.08.23,4-MU,1,B9,Sample,Laminaria digitata,1,1,NA,1500,TRUE
24.08.23,4-MU,1,B10,Sample,Laminaria digitata,1,1,NA,2000,TRUE
24.08.23,4-MU,1,B11,Sample,Laminaria digitata,1,1,NA,2500,TRUE
24.08.23,4-MU,1,B12,Sample,Laminaria digitata,1,1,NA,3000,TRUE
24.08.23,4-MU,1,C1,Sample,Laminaria digitata,1,2,NA,1,TRUE
24.08.23,4-MU,1,C2,Sample,Laminaria digitata,1,2,NA,10,TRUE
24.08.23,4-MU,1,C3,Sample,Laminaria digitata,1,2,NA,50,TRUE
24.08.23,4-MU,1,C4,Sample,Laminaria digitata,1,2,NA,100,TRUE
24.08.23,4-MU,1,C5,Sample,Laminaria digitata,1,2,NA,250,TRUE
24.08.23,4-MU,1,C6,Sample,Laminaria digitata,1,2,NA,500,TRUE
24.08.23,4-MU,1,C7,Sample,Laminaria digitata,1,2,NA,750,TRUE
24.08.23,4-MU,1,C8,Sample,Laminaria digitata,1,2,NA,1000,TRUE
24.08.23,4-MU,1,C9,Sample,Laminaria digitata,1,2,NA,1500,TRUE
24.08.23,4-MU,1,C10,Sample,Laminaria digitata,1,2,NA,2000,TRUE
24.08.23,4-MU,1,C11,Sample,Laminaria digitata,1,2,NA,2500,TRUE
24.08.23,4-MU,1,C12,Sample,Laminaria digitata,1,2,NA,3000,TRUE
24.08.23,4-MU,1,D1,Sample,Laminaria ochroleuca,1,1,NA,1,TRUE
24.08.23,4-MU,1,D2,Sample,Laminaria ochroleuca,1,1,NA,10,TRUE
24.08.23,4-MU,1,D3,Sample,Laminaria ochroleuca,1,1,NA,50,TRUE
24.08.23,4-MU,1,D4,Sample,Laminaria ochroleuca,1,1,NA,100,TRUE
24.08.23,4-MU,1,D5,Sample,Laminaria ochroleuca,1,1,NA,250,TRUE
24.08.23,4-MU,1,D6,Sample,Laminaria ochroleuca,1,1,NA,500,TRUE
24.08.23,4-MU,1,D7,Sample,Laminaria ochroleuca,1,1,NA,750,TRUE
24.08.23,4-MU,1,D8,Sample,Laminaria ochroleuca,1,1,NA,1000,TRUE
24.08.23,4-MU,1,D9,Sample,Laminaria ochroleuca,1,1,NA,1500,TRUE
24.08.23,4-MU,1,D10,Sample,Laminaria ochroleuca,1,1,NA,2000,TRUE
24.08.23,4-MU,1,D11,Sample,Laminaria ochroleuca,1,1,NA,2500,TRUE
24.08.23,4-MU,1,D12,Sample,Laminaria ochroleuca,1,1,NA,3000,TRUE
24.08.23,4-MU,1,E1,Sample,Laminaria ochroleuca,1,2,NA,1,TRUE
24.08.23,4-MU,1,E2,Sample,Laminaria ochroleuca,1,2,NA,10,TRUE
24.08.23,4-MU,1,E3,Sample,Laminaria ochroleuca,1,2,NA,50,TRUE
24.08.23,4-MU,1,E4,Sample,Laminaria ochroleuca,1,2,NA,100,TRUE
24.08.23,4-MU,1,E5,Sample,Laminaria ochroleuca,1,2,NA,250,TRUE
24.08.23,4-MU,1,E6,Sample,Laminaria ochroleuca,1,2,NA,500,TRUE
24.08.23,4-MU,1,E7,Sample,Laminaria ochroleuca,1,2,NA,750,TRUE
24.08.23,4-MU,1,E8,Sample,Laminaria ochroleuca,1,2,NA,1000,TRUE
