Reference,DOI,Urchin,Seaweed,Mean,SEM,N,Source,Notes
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.520679012,0.029526749,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.518518519,0.042489712,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.373765432,0.030246914,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.306790123,0.015123457,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.24845679,0.017283951,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.427057613,0.00936214,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.174279835,0.015123457,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.141872428,0.020884774,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.083539095,0.010082305,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.167798354,0.043930041,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.087860082,0.012962963,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.162037037,0.084259259,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.07345679,0.012962963,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.062654321,0.016563786,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.049691358,0.013683128,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.569005848,0.075730994,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.546491228,0.065497076,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.483040936,0.081871345,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.378654971,0.02797271,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.425730994,0.042300195,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.211500975,0.013645224,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.303606238,0.031384016,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.193079922,0.01705653,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.156920078,0.015692008,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.168518519,0.02797271,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.180116959,0.042982456,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.275633528,0.080506823,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.095516569,0.012280702,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.081871345,0.009551657,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009a,10.3354/ab00171,Strongylocentrotus droebachiensis,Saccharina latissima,0.11871345,0.014327485,5,Figure 7,using midpoint of sample size range 2–8
Sauchyn & Scheibling 2009b,10.3354/meps08296,Strongylocentrotus droebachiensis,Codium fragile,0.661478599,0.097276265,6,Figure 5a,
Sauchyn & Scheibling 2009b,10.3354/meps08296,Strongylocentrotus droebachiensis,Saccharina latissima,1.575875486,0.179961089,6,Figure 5a,
Sauchyn & Scheibling 2009b,10.3354/meps08296,Strongylocentrotus droebachiensis,Saccharina latissima,2.052529183,0.16536965,6,Figure 5a,
Orr et al. 2014,10.1016/j.aquaculture.2013.11.030,Strongylocentrotus droebachiensis,Macrocystis pyrifera,0.813679245,0.109669811,6,Figure 3c,
