Urchin,Percentage,P,References,Observations
Spring,66 ± 3.4 (66),6.2e-5,NA,15
Summer,26 ± 3.5 (26),1,NA,14
Autumn,37 ± 3 (37),1,NA,15
Annual,44 ± 20 (43),0.63,NA,44
Strongylocentrotus droebachiensis,46 ± 26 (46),0.56,12,612
Strongylocentrotus purpuratus,47 ± 26 (46),0.55,4,180
Strongylocentrotus intermedius,45 ± 26 (44),0.57,4,244
Strongylocentrotus,46 ± 26 (45),0.57,19,1036
Mesocentrotus franciscanus,39 ± 25 (37),0.66,1,36
Mesocentrotus nudus,39 ± 25 (36),0.67,1,3
Mesocentrotus,41 ± 26 (38),0.64,2,39
Paracentrotus lividus,45 ± 26 (44),0.58,4,135
Psammechinus miliaris,50 ± 26 (50),0.5,3,85
Parechinus angulosus,41 ± 26 (39),0.63,1,15
Kelp-feeding urchins (8 species),45 ± 26 (43),0.58,27,1310
Other urchins (9 species),46 ± 27 (45),0.56,5,58
All urchins (17 species),46 ± 27 (45),0.56,32,1368
