Urchin,Compound,Ratio,P,References,Observations
Strongylocentrotus droebachiensis,Carbon,0.61 (-0.5 ± 0.38),0.92,NA,34
Strongylocentrotus droebachiensis,Nitrogen,1 (0.052 ± 0.64),0.47,NA,34
Strongylocentrotus droebachiensis,Phenols,0.039 (-3.2 ± 0.63),1,NA,34
Strongylocentrotus droebachiensis,Pigments,0.79 (-0.26 ± 0.84),0.63,NA,34
Strongylocentrotus droebachiensis,Carbon,0.64 (-0.46 ± 0.51),0.84,3,79
Strongylocentrotus droebachiensis,Nitrogen,0.74 (-0.36 ± 0.87),0.66,3,79
Strongylocentrotus droebachiensis,Carbohydrates,0.56 (-0.6 ± 0.68),0.82,2,87
Strongylocentrotus droebachiensis,Proteins,0.77 (-0.37 ± 1.2),0.61,2,85
Strongylocentrotus droebachiensis,Lipids,0.73 (-0.41 ± 1.1),0.64,2,83
Strongylocentrotus droebachiensis,Calories,1 (-0.043 ± 0.87),0.5,2,43
Strongylocentrotus purpuratus,Carbohydrates,0.57 (-0.59 ± 0.69),0.82,1,4
Strongylocentrotus purpuratus,Proteins,0.76 (-0.38 ± 1.2),0.61,1,4
Strongylocentrotus purpuratus,Lipids,1.6 (0.43 ± 0.92),0.29,2,19
Strongylocentrotus intermedius,Nitrogen,0.72 (-0.39 ± 0.91),0.67,1,15
Strongylocentrotus intermedius,Calories,0.98 (-0.054 ± 0.82),0.51,1,21
Mesocentrotus franciscanus,Carbohydrates,0.55 (-0.62 ± 0.7),0.83,1,15
Mesocentrotus franciscanus,Proteins,0.75 (-0.4 ± 1.2),0.62,1,13
Mesocentrotus franciscanus,Calories,1.3 (0.27 ± 0.78),0.34,1,40
Psammechinus miliaris,Carbon,0.7 (-0.37 ± 0.54),0.77,1,92
Psammechinus miliaris,Proteins,0.42 (-1.1 ± 1.5),0.78,1,178
Other urchins (7 species),Carbon,0.63 (-0.46 ± 0.74),0.76,2,21
Other urchins (7 species),Nitrogen,0.57 (-0.67 ± 1.3),0.72,2,21
Other urchins (7 species),Carbohydrates,1 (-0.011 ± 0.75),0.48,3,174
Other urchins (7 species),Proteins,0.87 (-0.26 ± 1.3),0.56,3,174
Other urchins (7 species),Lipids,0.87 (-0.23 ± 1.3),0.55,3,174
Other urchins (7 species),Calories,0.92 (-0.17 ± 1.1),0.54,1,40
