Season,Tank,Sporophyte,Deployment,Retrieval,Initial,Final,Lamina.wet,Lamina.dry,Faeces,Faeces.wet,Faeces.dry,Grazing,Initials,Notes
Autumn,U1,1,14.09.23 21:00,18.09.23 16:00,208.376,190.815,189.793,41.1185,30.189,30.189,1.9873,Excavation,LSW,oven dried at 60°C before freeze-drying
Autumn,C1,1,14.09.23 21:00,18.09.23 16:00,201.103,201.899,200.306,48.3925,NA,NA,NA,NA,LSW,
Autumn,M1,1,14.09.23 21:00,18.09.23 16:00,205.671,203.508,201.219,48.5453,NA,NA,NA,NA,LSW,
Autumn,U2,2,14.09.23 21:00,18.09.23 16:00,207.506,195.835,193.934,54.0186,17.551,17.551,1.255,Edge,LSW,
Autumn,C2,2,14.09.23 21:00,18.09.23 16:00,199.86,198.425,197.489,63.6138,NA,NA,NA,NA,LSW,oven dried at 60°C before freeze-drying
Autumn,M2,2,14.09.23 21:00,18.09.23 16:00,202.634,200.812,198.998,56.9825,NA,NA,NA,NA,LSW,oven dried at 60°C before freeze-drying
Autumn,U3,3,14.09.23 21:00,18.09.23 16:00,206.231,194.185,193.954,49.625,11.682,11.682,0.6884,Excavation,LSW,oven dried at 60°C before freeze-drying
Autumn,C3,3,14.09.23 21:00,18.09.23 16:00,208.567,208.336,207.574,45.2243,NA,NA,NA,NA,LSW,
Autumn,M3,3,14.09.23 21:00,18.09.23 16:00,208.176,202.347,199.627,54.7002,NA,NA,NA,NA,LSW,oven dried at 60°C before freeze-drying
Autumn,U4,4,14.09.23 21:00,20.09.23 15:00,206.038,179.439,178.156,45.8914,33.323,33.323,2.4122,Excavation,LSW,
Autumn,C4,4,14.09.23 21:00,20.09.23 15:00,202.185,190.797,190.102,55.201,NA,NA,NA,NA,LSW,
Autumn,M4,4,14.09.23 21:00,20.09.23 15:00,172.317,170.592,169.857,48.0109,NA,NA,NA,NA,LSW,
Autumn,U5,5,14.09.23 21:00,20.09.23 15:00,199.905,176.522,175.581,46.3269,21.351,21.351,1.6046,Excavation,LSW,
Autumn,C5,5,14.09.23 21:00,20.09.23 15:00,196.933,194.307,193.163,55.924,NA,NA,NA,NA,LSW,
Autumn,M5,5,14.09.23 21:00,20.09.23 15:00,175.229,177.948,174.865,48.5744,NA,NA,NA,NA,LSW,
Autumn,U6,6,14.09.23 21:00,20.09.23 15:00,195.471,167.385,165.112,31.8731,29.933,29.933,2.0452,Edge,LSW,
Autumn,C6,6,14.09.23 21:00,20.09.23 15:00,197.237,190.77,189.753,44.3855,NA,NA,NA,NA,LSW,
Autumn,M6,6,14.09.23 21:00,20.09.23 15:00,141.051,139.039,137.796,27.6561,NA,NA,NA,NA,LSW,
Autumn,U7,7,14.09.23 21:00,22.09.23 14:00,199.086,170.225,166.351,40.1316,43.284,43.284,3.4297,Excavation,LSW,
Autumn,C7,7,14.09.23 21:00,22.09.23 14:00,202.573,207.591,206.509,39.4051,NA,NA,NA,NA,LSW,
Autumn,M7,7,14.09.23 21:00,22.09.23 14:00,196.521,209.945,203.337,52.0322,NA,NA,NA,NA,LSW,
Autumn,U8,8,14.09.23 21:00,22.09.23 14:00,195.433,153.555,152.248,37.1201,42.188,42.188,3.3154,Excavation,LSW,
Autumn,C8,8,14.09.23 21:00,22.09.23 14:00,194.994,200.584,199.614,46.1458,NA,NA,NA,NA,LSW,
Autumn,M8,8,14.09.23 21:00,22.09.23 14:00,200.614,209.678,209.132,60.263,NA,NA,NA,NA,LSW,
