Tank,Date,PAR,Initials
U1,15.09.23,6.784,LSW
U2,15.09.23,7.196,LSW
U3,15.09.23,8.961,LSW
U4,15.09.23,9.268,LSW
U5,15.09.23,9.027,LSW
U6,15.09.23,8.348,LSW
U7,15.09.23,7.582,LSW
U8,15.09.23,8.635,LSW
U9,15.09.23,8.315,LSW
U10,15.09.23,9.837,LSW
U11,15.09.23,9.5,LSW
U12,15.09.23,11.61,LSW
U13,15.09.23,10.42,LSW
U14,15.09.23,9.434,LSW
U15,15.09.23,9.112,LSW
C1,15.09.23,9.504,LSW
C2,15.09.23,9.666,LSW
C3,15.09.23,9.355,LSW
C4,15.09.23,11.05,LSW
C5,15.09.23,10.25,LSW
C6,15.09.23,9.754,LSW
C7,15.09.23,7.863,LSW
C8,15.09.23,9.667,LSW
C9,15.09.23,9.4,LSW
C10,15.09.23,10.59,LSW
C11,15.09.23,10.32,LSW
C12,15.09.23,11.6,LSW
C13,15.09.23,12.46,LSW
C14,15.09.23,9.565,LSW
C15,15.09.23,8.431,LSW
M1,15.09.23,7.35,LSW
M2,15.09.23,7.714,LSW
M3,15.09.23,9.263,LSW
M4,15.09.23,9.058,LSW
M5,15.09.23,9.606,LSW
M6,15.09.23,10.41,LSW
M7,15.09.23,10.72,LSW
M8,15.09.23,8.761,LSW
M9,15.09.23,8.584,LSW
M10,15.09.23,9.668,LSW
M11,15.09.23,11.1,LSW
M12,15.09.23,10.05,LSW
M13,15.09.23,9.053,LSW
M14,15.09.23,9.818,LSW
M15,15.09.23,7.714,LSW
U1,16.09.23,6.717,LSW
U2,16.09.23,7.253,LSW
U3,16.09.23,9.39,LSW
U4,16.09.23,9.614,LSW
U5,16.09.23,9.534,LSW
U6,16.09.23,9.421,LSW
U7,16.09.23,10.88,LSW
U8,16.09.23,9.449,LSW
U9,16.09.23,8.263,LSW
U10,16.09.23,10.1,LSW
U11,16.09.23,10.76,LSW
U12,16.09.23,12.03,LSW
U13,16.09.23,9.681,LSW
U14,16.09.23,10.91,LSW
U15,16.09.23,8.913,LSW
C1,16.09.23,10.33,LSW
C2,16.09.23,8.73,LSW
C3,16.09.23,8.891,LSW
C4,16.09.23,10.48,LSW
C5,16.09.23,9.771,LSW
C6,16.09.23,10.89,LSW
C7,16.09.23,8.276,LSW
C8,16.09.23,9.715,LSW
C9,16.09.23,9.668,LSW
C10,16.09.23,9.773,LSW
C11,16.09.23,10.26,LSW
C12,16.09.23,11.14,LSW
C13,16.09.23,10.57,LSW
C14,16.09.23,9.636,LSW
C15,16.09.23,8.012,LSW
M1,16.09.23,6.168,LSW
M2,16.09.23,7.925,LSW
M3,16.09.23,9.03,LSW
M4,16.09.23,9.124,LSW
M5,16.09.23,9.545,LSW
M6,16.09.23,10.23,LSW
M7,16.09.23,10.69,LSW
M8,16.09.23,8.786,LSW
M9,16.09.23,7.586,LSW
M10,16.09.23,9.035,LSW
M11,16.09.23,10.45,LSW
M12,16.09.23,9.745,LSW
M13,16.09.23,9.313,LSW
M14,16.09.23,9.63,LSW
M15,16.09.23,8.247,LSW
U1,17.09.23,6.589,LSW
U2,17.09.23,7.537,LSW
U3,17.09.23,9.244,LSW
U4,17.09.23,9.255,LSW
U5,17.09.23,9.516,LSW
U6,17.09.23,8.924,LSW
U7,17.09.23,9.494,LSW
U8,17.09.23,8.121,LSW
U9,17.09.23,8.364,LSW
U10,17.09.23,9.606,LSW
U11,17.09.23,9.307,LSW
U12,17.09.23,9.157,LSW
U13,17.09.23,8.887,LSW
U14,17.09.23,9.339,LSW
U15,17.09.23,9.359,LSW
C1,17.09.23,8.599,LSW
C2,17.09.23,8.987,LSW
C3,17.09.23,8.965,LSW
C4,17.09.23,10.42,LSW
C5,17.09.23,10.26,LSW
C6,17.09.23,9.329,LSW
C7,17.09.23,8.253,LSW
C8,17.09.23,9.557,LSW
C9,17.09.23,10.12,LSW
C10,17.09.23,10.25,LSW
C11,17.09.23,9.953,LSW
C12,17.09.23,11.26,LSW
C13,17.09.23,10.66,LSW
C14,17.09.23,9.718,LSW
C15,17.09.23,8.561,LSW
M1,17.09.23,6.31,LSW
M2,17.09.23,7.494,LSW
M3,17.09.23,8.756,LSW
M4,17.09.23,9.076,LSW
M5,17.09.23,9.727,LSW
M6,17.09.23,9.377,LSW
M7,17.09.23,10.06,LSW
M8,17.09.23,9.026,LSW
M9,17.09.23,7.78,LSW
M10,17.09.23,9.071,LSW
M11,17.09.23,10.41,LSW
M12,17.09.23,10.07,LSW
M13,17.09.23,10.72,LSW
M14,17.09.23,9.462,LSW
M15,17.09.23,8.636,LSW
U1,18.09.23,6.469,LSW
U2,18.09.23,7.666,LSW
U3,18.09.23,8.535,LSW
U4,18.09.23,8.311,LSW
U5,18.09.23,9.385,LSW
U6,18.09.23,9.245,LSW
U7,18.09.23,8.641,LSW
U8,18.09.23,8.74,LSW
U9,18.09.23,8.226,LSW
U10,18.09.23,10.37,LSW
U11,18.09.23,9.613,LSW
U12,18.09.23,8.969,LSW
U13,18.09.23,8.816,LSW
U14,18.09.23,8.944,LSW
U15,18.09.23,10.19,LSW
C1,18.09.23,9.456,LSW
C2,18.09.23,8.896,LSW
C3,18.09.23,8.766,LSW
C4,18.09.23,10.33,LSW
C5,18.09.23,9.743,LSW
C6,18.09.23,9.439,LSW
C7,18.09.23,8.044,LSW
C8,18.09.23,9.534,LSW
C9,18.09.23,9.278,LSW
C10,18.09.23,10.31,LSW
C11,18.09.23,9.914,LSW
C12,18.09.23,9.794,LSW
C13,18.09.23,10.97,LSW
C14,18.09.23,9.545,LSW
C15,18.09.23,8.693,LSW
M1,18.09.23,6.263,LSW
M2,18.09.23,7.857,LSW
M3,18.09.23,8.954,LSW
M4,18.09.23,9.266,LSW
M5,18.09.23,10.01,LSW
M6,18.09.23,9.502,LSW
M7,18.09.23,10.17,LSW
M8,18.09.23,8.632,LSW
M9,18.09.23,7.907,LSW
M10,18.09.23,9.403,LSW
M11,18.09.23,10.76,LSW
M12,18.09.23,9.907,LSW
M13,18.09.23,9.216,LSW
M14,18.09.23,9.609,LSW
M15,18.09.23,7.672,LSW
U4,19.09.23,9.031,LSW
U5,19.09.23,9.788,LSW
U6,19.09.23,10.22,LSW
U7,19.09.23,8.293,LSW
U8,19.09.23,9.464,LSW
U9,19.09.23,8.121,LSW
